protocol,network,contract_address,contract_name,type,signature
Sky Lending,nan,0x56072c95faa701256059aa122697b133aded9279,,event,"Transfer(address from, address to, uint256 value)"
Sky Lending,nan,0x56072c95faa701256059aa122697b133aded9279,,function,DOMAIN_SEPARATOR()
Sky Lending,nan,0x56072c95faa701256059aa122697b133aded9279,,function,PERMIT_TYPEHASH()
Sky Lending,nan,0x56072c95faa701256059aa122697b133aded9279,,function,"allowance(address , address )"
Sky Lending,nan,0x56072c95faa701256059aa122697b133aded9279,,function,"approve(address spender, uint256 value)"
Sky Lending,nan,0x56072c95faa701256059aa122697b133aded9279,,function,balanceOf(address )
Sky Lending,nan,0x56072c95faa701256059aa122697b133aded9279,,function,"burn(address from, uint256 value)"
Sky Lending,nan,0x56072c95faa701256059aa122697b133aded9279,,function,decimals()
Sky Lending,nan,0x56072c95faa701256059aa122697b133aded9279,,function,deny(address usr)
Sky Lending,nan,0x56072c95faa701256059aa122697b133aded9279,,function,deploymentChainId()
Sky Lending,nan,0x56072c95faa701256059aa122697b133aded9279,,function,"mint(address to, uint256 value)"
Sky Lending,nan,0x56072c95faa701256059aa122697b133aded9279,,function,name()
Sky Lending,nan,0x56072c95faa701256059aa122697b133aded9279,,function,nonces(address )
Sky Lending,nan,0x56072c95faa701256059aa122697b133aded9279,,function,"permit(address owner, address spender, uint256 value, uint256 deadline, bytes signature)"
Sky Lending,nan,0x56072c95faa701256059aa122697b133aded9279,,function,"permit(address owner, address spender, uint256 value, uint256 deadline, uint8 v, bytes32 r, bytes32 s)"
Sky Lending,nan,0x56072c95faa701256059aa122697b133aded9279,,function,rely(address usr)
Sky Lending,nan,0x56072c95faa701256059aa122697b133aded9279,,function,symbol()
Sky Lending,nan,0x56072c95faa701256059aa122697b133aded9279,,function,totalSupply()
Sky Lending,nan,0x56072c95faa701256059aa122697b133aded9279,,function,"transfer(address to, uint256 value)"
Sky Lending,nan,0x56072c95faa701256059aa122697b133aded9279,,function,"transferFrom(address from, address to, uint256 value)"
Sky Lending,nan,0x56072c95faa701256059aa122697b133aded9279,,function,version()
Sky Lending,nan,0x56072c95faa701256059aa122697b133aded9279,,function,wards(address )
Bitmex,nan,0xb113c6cf239f60d380359b762e95c13817275277,,event,"Approval(address owner, address spender, uint256 value)"
Bitmex,nan,0xb113c6cf239f60d380359b762e95c13817275277,,event,BlacklistManagerAdded(address _blacklistManager)
Bitmex,nan,0xb113c6cf239f60d380359b762e95c13817275277,,event,BlacklistManagerRemoved(address _blacklistManager)
Bitmex,nan,0xb113c6cf239f60d380359b762e95c13817275277,,event,Blacklisted(address wallet)
Bitmex,nan,0xb113c6cf239f60d380359b762e95c13817275277,,event,"OwnershipTransferred(address previousOwner, address newOwner)"
Bitmex,nan,0xb113c6cf239f60d380359b762e95c13817275277,,event,Paused(address account)
Bitmex,nan,0xb113c6cf239f60d380359b762e95c13817275277,,event,"Transfer(address from, address to, uint256 value)"
Bitmex,nan,0xb113c6cf239f60d380359b762e95c13817275277,,event,Unpaused(address account)
Bitmex,nan,0xb113c6cf239f60d380359b762e95c13817275277,,event,Whitelisted(address wallet)
Bitmex,nan,0xb113c6cf239f60d380359b762e95c13817275277,,function,_vestingContract()
Bitmex,nan,0xb113c6cf239f60d380359b762e95c13817275277,,function,addBlacklistManager(address _blacklistManager)
Bitmex,nan,0xb113c6cf239f60d380359b762e95c13817275277,,function,"allowance(address owner, address spender)"
Bitmex,nan,0xb113c6cf239f60d380359b762e95c13817275277,,function,"approve(address spender, uint256 amount)"
Bitmex,nan,0xb113c6cf239f60d380359b762e95c13817275277,,function,balanceOf(address account)
Bitmex,nan,0xb113c6cf239f60d380359b762e95c13817275277,,function,blacklist(address _wallet)
Bitmex,nan,0xb113c6cf239f60d380359b762e95c13817275277,,function,blacklisted(address _wallet)
Bitmex,nan,0xb113c6cf239f60d380359b762e95c13817275277,,function,burn(uint256 amount)
Bitmex,nan,0xb113c6cf239f60d380359b762e95c13817275277,,function,decimals()
Bitmex,nan,0xb113c6cf239f60d380359b762e95c13817275277,,function,"decreaseAllowance(address spender, uint256 subtractedValue)"
Bitmex,nan,0xb113c6cf239f60d380359b762e95c13817275277,,function,"increaseAllowance(address spender, uint256 addedValue)"
Bitmex,nan,0xb113c6cf239f60d380359b762e95c13817275277,,function,initialize()
Bitmex,nan,0xb113c6cf239f60d380359b762e95c13817275277,,function,isBlacklistManager(address _blacklistManager)
Bitmex,nan,0xb113c6cf239f60d380359b762e95c13817275277,,function,name()
